question,row_count,columns,sample_rows_json
Get all order dates,326,"orderNumber, orderDate","[{""orderNumber"": 10100, ""orderDate"": ""2003-01-06""}, {""orderNumber"": 10101, ""orderDate"": ""2003-01-09""}, {""orderNumber"": 10102, ""orderDate"": ""2003-01-10""}, {""orderNumber"": 10103, ""orderDate"": ""2003-01-29""}, {""orderNumber"": 10104, ""orderDate"": ""2003-01-31""}]"
Show product vendor list,13,productVendor,"[{""productVendor"": ""Autoart Studio Design""}, {""productVendor"": ""Carousel DieCast Legends""}, {""productVendor"": ""Classic Metal Creations""}, {""productVendor"": ""Exoto Designs""}, {""productVendor"": ""Gearbox Collectibles""}]"
Get all product codes,110,productCode,"[{""productCode"": ""S10_1678""}, {""productCode"": ""S10_1949""}, {""productCode"": ""S10_2016""}, {""productCode"": ""S10_4698""}, {""productCode"": ""S10_4757""}]"
List all countries from offices,5,country,"[{""country"": ""Australia""}, {""country"": ""France""}, {""country"": ""Japan""}, {""country"": ""UK""}, {""country"": ""USA""}]"
Show all order statuses,6,status,"[{""status"": ""Cancelled""}, {""status"": ""Disputed""}, {""status"": ""In Process""}, {""status"": ""On Hold""}, {""status"": ""Resolved""}]"
Get all payment amounts,273,"customerNumber, checkNumber, amount","[{""customerNumber"": 141, ""checkNumber"": ""JE105477"", ""amount"": 120166.58}, {""customerNumber"": 141, ""checkNumber"": ""ID10962"", ""amount"": 116208.4}, {""customerNumber"": 124, ""checkNumber"": ""KI131716"", ""amount"": 111654.4}, {""customerNumber"": 148, ""checkNumber"": ""KM172879"", ""amount"": 105743}, {""customerNumber"": 124, ""checkNumber"": ""AE215433"", ""amount"": 101244.59}]"
List all job titles,7,jobTitle,"[{""jobTitle"": ""President""}, {""jobTitle"": ""Sale Manager (EMEA)""}, {""jobTitle"": ""Sales Manager (APAC)""}, {""jobTitle"": ""Sales Manager (NA)""}, {""jobTitle"": ""Sales Rep""}]"
Get customer phone numbers,122,"customerName, phone","[{""customerName"": ""ANG Resellers"", ""phone"": ""(91) 745 6555""}, {""customerName"": ""AV Stores, Co."", ""phone"": ""(171) 555-1555""}, {""customerName"": ""Alpha Cognac"", ""phone"": ""61.77.6555""}, {""customerName"": ""American Souvenirs Inc"", ""phone"": ""2035557845""}, {""customerName"": ""Amica Models & Co."", ""phone"": ""011-4988555""}]"
Show product MSRP values,110,"productName, MSRP","[{""productName"": ""18th Century Vintage Horse Carriage"", ""MSRP"": 104.72}, {""productName"": ""18th century schooner"", ""MSRP"": 122.89}, {""productName"": ""1900s Vintage Bi-Plane"", ""MSRP"": 68.51}, {""productName"": ""1900s Vintage Tri-Plane"", ""MSRP"": 72.45}, {""productName"": ""1903 Ford Model A"", ""MSRP"": 136.59}]"
List order numbers,326,orderNumber,"[{""orderNumber"": 10100}, {""orderNumber"": 10101}, {""orderNumber"": 10102}, {""orderNumber"": 10103}, {""orderNumber"": 10104}]"
Get orders with customer names,326,"orderNumber, orderDate, status, customerName","[{""orderNumber"": 10100, ""orderDate"": ""2003-01-06"", ""status"": ""Shipped"", ""customerName"": ""Online Diecast Creations Co.""}, {""orderNumber"": 10101, ""orderDate"": ""2003-01-09"", ""status"": ""Shipped"", ""customerName"": ""Blauer See Auto, Co.""}, {""orderNumber"": 10102, ""orderDate"": ""2003-01-10"", ""status"": ""Shipped"", ""customerName"": ""Vitachrome Inc.""}, {""orderNumber"": 10103, ""orderDate"": ""2003-01-29"", ""status"": ""Shipped"", ""customerName"": ""Baane Mini Imports""}, {""orderNumber"": 10104, ""orderDate"": ""2003-01-31"", ""status"": ""Shipped"", ""customerName"": ""Euro+ Shopping Channel""}]"
Get employees with office city,23,"employeeNumber, firstName, lastName, office_city","[{""employeeNumber"": 1002, ""firstName"": ""Diane"", ""lastName"": ""Murphy"", ""office_city"": ""San Francisco""}, {""employeeNumber"": 1056, ""firstName"": ""Mary"", ""lastName"": ""Patterson"", ""office_city"": ""San Francisco""}, {""employeeNumber"": 1076, ""firstName"": ""Jeff"", ""lastName"": ""Firrelli"", ""office_city"": ""San Francisco""}, {""employeeNumber"": 1088, ""firstName"": ""William"", ""lastName"": ""Patterson"", ""office_city"": ""Sydney""}, {""employeeNumber"": 1102, ""firstName"": ""Gerard"", ""lastName"": ""Bondur"", ""office_city"": ""Paris""}]"
Get payments with customer names,273,"checkNumber, paymentDate, amount, customerName","[{""checkNumber"": ""IS232033"", ""paymentDate"": ""2003-01-16"", ""amount"": 10223.83, ""customerName"": ""Online Diecast Creations Co.""}, {""checkNumber"": ""DI925118"", ""paymentDate"": ""2003-01-28"", ""amount"": 10549.01, ""customerName"": ""Blauer See Auto, Co.""}, {""checkNumber"": ""GQ132144"", ""paymentDate"": ""2003-01-30"", ""amount"": 5494.78, ""customerName"": ""Vitachrome Inc.""}, {""checkNumber"": ""DB889831"", ""paymentDate"": ""2003-02-16"", ""amount"": 50218.95, ""customerName"": ""Baane Mini Imports""}, {""checkNumber"": ""JJ246391"", ""paymentDate"": ""2003-02-20"", ""amount"": 53959.21, ""customerName"": ""Danish Wholesale Imports""}]"
Get order details with product names,2996,"orderNumber, productName, quantityOrdered, priceEach","[{""orderNumber"": 10100, ""productName"": ""1911 Ford Town Car"", ""quantityOrdered"": 50, ""priceEach"": 55.09}, {""orderNumber"": 10100, ""productName"": ""1917 Grand Touring Sedan"", ""quantityOrdered"": 30, ""priceEach"": 136}, {""orderNumber"": 10100, ""productName"": ""1932 Alfa Romeo 8C2300 Spider Sport"", ""quantityOrdered"": 22, ""priceEach"": 75.46}, {""orderNumber"": 10100, ""productName"": ""1936 Mercedes Benz 500k Roadster"", ""quantityOrdered"": 49, ""priceEach"": 35.29}, {""orderNumber"": 10101, ""productName"": ""1928 Mercedes-Benz SSK"", ""quantityOrdered"": 26, ""priceEach"": 167.06}]"
Get products with product line description,110,"productCode, productName, productLine, textDescription","[{""productCode"": ""S10_1678"", ""productName"": ""1969 Harley Davidson Ultimate Chopper"", ""productLine"": ""Motorcycles"", ""textDescription"": ""Our motorcycles are state of the art replicas of classic as well as contemporary motorcycle legends such as Harley Davidson, Ducati and Vespa. Models contain stunning details such as official logos, rotating wheels, working kickstand, front suspension, gear-shift lever, footbrake lever, and drive chain. Materials used include diecast and plastic. The models range in size from 1:10 to 1:50 scale and include numerous limited edition and several out-of-production vehicles. All models come fully assembled and ready for display in the home or office. Most include a certificate of authenticity.""}, {""productCode"": ""S10_1949"", ""productName"": ""1952 Alpine Renault 1300"", ""productLine"": ""Classic Cars"", ""textDescription"": ""Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office.""}, {""productCode"": ""S10_2016"", ""productName"": ""1996 Moto Guzzi 1100i"", ""productLine"": ""Motorcycles"", ""textDescription"": ""Our motorcycles are state of the art replicas of classic as well as contemporary motorcycle legends such as Harley Davidson, Ducati and Vespa. Models contain stunning details such as official logos, rotating wheels, working kickstand, front suspension, gear-shift lever, footbrake lever, and drive chain. Materials used include diecast and plastic. The models range in size from 1:10 to 1:50 scale and include numerous limited edition and several out-of-production vehicles. All models come fully assembled and ready for display in the home or office. Most include a certificate of authenticity.""}, {""productCode"": ""S10_4698"", ""productName"": ""2003 Harley-Davidson Eagle Drag Bike"", ""productLine"": ""Motorcycles"", ""textDescription"": ""Our motorcycles are state of the art replicas of classic as well as contemporary motorcycle legends such as Harley Davidson, Ducati and Vespa. Models contain stunning details such as official logos, rotating wheels, working kickstand, front suspension, gear-shift lever, footbrake lever, and drive chain. Materials used include diecast and plastic. The models range in size from 1:10 to 1:50 scale and include numerous limited edition and several out-of-production vehicles. All models come fully assembled and ready for display in the home or office. Most include a certificate of authenticity.""}, {""productCode"": ""S10_4757"", ""productName"": ""1972 Alfa Romeo GTA"", ""productLine"": ""Classic Cars"", ""textDescription"": ""Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office.""}]"
Get customers with sales rep names,122,"customerName, sales_rep_first_name, sales_rep_last_name","[{""customerName"": ""ANG Resellers"", ""sales_rep_first_name"": null, ""sales_rep_last_name"": null}, {""customerName"": ""AV Stores, Co."", ""sales_rep_first_name"": ""Larry"", ""sales_rep_last_name"": ""Bott""}, {""customerName"": ""Alpha Cognac"", ""sales_rep_first_name"": ""Gerard"", ""sales_rep_last_name"": ""Hernandez""}, {""customerName"": ""American Souvenirs Inc"", ""sales_rep_first_name"": ""Foon Yue"", ""sales_rep_last_name"": ""Tseng""}, {""customerName"": ""Amica Models & Co."", ""sales_rep_first_name"": ""Pamela"", ""sales_rep_last_name"": ""Castillo""}]"
Get orders with customer city,326,"orderNumber, orderDate, status, city","[{""orderNumber"": 10100, ""orderDate"": ""2003-01-06"", ""status"": ""Shipped"", ""city"": ""Nashua""}, {""orderNumber"": 10101, ""orderDate"": ""2003-01-09"", ""status"": ""Shipped"", ""city"": ""Frankfurt""}, {""orderNumber"": 10102, ""orderDate"": ""2003-01-10"", ""status"": ""Shipped"", ""city"": ""NYC""}, {""orderNumber"": 10103, ""orderDate"": ""2003-01-29"", ""status"": ""Shipped"", ""city"": ""Stavern""}, {""orderNumber"": 10104, ""orderDate"": ""2003-01-31"", ""status"": ""Shipped"", ""city"": ""Madrid""}]"
Get employees and their manager,23,"employeeNumber, firstName, lastName, manager_first_name, manager_last_name","[{""employeeNumber"": 1002, ""firstName"": ""Diane"", ""lastName"": ""Murphy"", ""manager_first_name"": null, ""manager_last_name"": null}, {""employeeNumber"": 1056, ""firstName"": ""Mary"", ""lastName"": ""Patterson"", ""manager_first_name"": ""Diane"", ""manager_last_name"": ""Murphy""}, {""employeeNumber"": 1076, ""firstName"": ""Jeff"", ""lastName"": ""Firrelli"", ""manager_first_name"": ""Diane"", ""manager_last_name"": ""Murphy""}, {""employeeNumber"": 1088, ""firstName"": ""William"", ""lastName"": ""Patterson"", ""manager_first_name"": ""Mary"", ""manager_last_name"": ""Patterson""}, {""employeeNumber"": 1102, ""firstName"": ""Gerard"", ""lastName"": ""Bondur"", ""manager_first_name"": ""Mary"", ""manager_last_name"": ""Patterson""}]"
Get orderdetails with product vendor,2996,"orderNumber, productCode, productVendor, quantityOrdered, priceEach","[{""orderNumber"": 10100, ""productCode"": ""S18_1749"", ""productVendor"": ""Welly Diecast Productions"", ""quantityOrdered"": 30, ""priceEach"": 136}, {""orderNumber"": 10100, ""productCode"": ""S18_2248"", ""productVendor"": ""Motor City Art Classics"", ""quantityOrdered"": 50, ""priceEach"": 55.09}, {""orderNumber"": 10100, ""productCode"": ""S18_4409"", ""productVendor"": ""Exoto Designs"", ""quantityOrdered"": 22, ""priceEach"": 75.46}, {""orderNumber"": 10100, ""productCode"": ""S24_3969"", ""productVendor"": ""Red Start Diecast"", ""quantityOrdered"": 49, ""priceEach"": 35.29}, {""orderNumber"": 10101, ""productCode"": ""S18_2325"", ""productVendor"": ""Autoart Studio Design"", ""quantityOrdered"": 25, ""priceEach"": 108.06}]"
Get payments with customer country,273,"checkNumber, paymentDate, amount, country","[{""checkNumber"": ""IS232033"", ""paymentDate"": ""2003-01-16"", ""amount"": 10223.83, ""country"": ""USA""}, {""checkNumber"": ""DI925118"", ""paymentDate"": ""2003-01-28"", ""amount"": 10549.01, ""country"": ""Germany""}, {""checkNumber"": ""GQ132144"", ""paymentDate"": ""2003-01-30"", ""amount"": 5494.78, ""country"": ""USA""}, {""checkNumber"": ""DB889831"", ""paymentDate"": ""2003-02-16"", ""amount"": 50218.95, ""country"": ""Norway""}, {""checkNumber"": ""JJ246391"", ""paymentDate"": ""2003-02-20"", ""amount"": 53959.21, ""country"": ""Denmark""}]"
Count customers per country,28,"country, customer_count","[{""country"": ""USA"", ""customer_count"": 36}, {""country"": ""Germany"", ""customer_count"": 13}, {""country"": ""France"", ""customer_count"": 12}, {""country"": ""Spain"", ""customer_count"": 7}, {""country"": ""Australia"", ""customer_count"": 5}]"
Total payments per customer,122,"customerNumber, customerName, total_payments","[{""customerNumber"": 141, ""customerName"": ""Euro+ Shopping Channel"", ""total_payments"": 715738.98}, {""customerNumber"": 124, ""customerName"": ""Mini Gifts Distributors Ltd."", ""total_payments"": 584188.24}, {""customerNumber"": 114, ""customerName"": ""Australian Collectors, Co."", ""total_payments"": 180585.07}, {""customerNumber"": 151, ""customerName"": ""Muscle Machine Inc"", ""total_payments"": 177913.94999999998}, {""customerNumber"": 148, ""customerName"": ""Dragon Souveniers, Ltd."", ""total_payments"": 156251.03}]"
Number of orders per status,6,"status, order_count","[{""status"": ""Shipped"", ""order_count"": 303}, {""status"": ""Cancelled"", ""order_count"": 6}, {""status"": ""In Process"", ""order_count"": 6}, {""status"": ""On Hold"", ""order_count"": 4}, {""status"": ""Resolved"", ""order_count"": 4}]"
Products per product line,7,"productLine, product_count","[{""productLine"": ""Classic Cars"", ""product_count"": 38}, {""productLine"": ""Vintage Cars"", ""product_count"": 24}, {""productLine"": ""Motorcycles"", ""product_count"": 13}, {""productLine"": ""Planes"", ""product_count"": 12}, {""productLine"": ""Trucks and Buses"", ""product_count"": 11}]"
Employees per office,7,"officeCode, city, employee_count","[{""officeCode"": ""1"", ""city"": ""San Francisco"", ""employee_count"": 6}, {""officeCode"": ""4"", ""city"": ""Paris"", ""employee_count"": 5}, {""officeCode"": ""6"", ""city"": ""Sydney"", ""employee_count"": 4}, {""officeCode"": ""2"", ""city"": ""Boston"", ""employee_count"": 2}, {""officeCode"": ""3"", ""city"": ""NYC"", ""employee_count"": 2}]"
Total stock per product vendor,13,"productVendor, total_stock","[{""productVendor"": ""Gearbox Collectibles"", ""total_stock"": 60495}, {""productVendor"": ""Min Lin Diecast"", ""total_stock"": 50089}, {""productVendor"": ""Classic Metal Creations"", ""total_stock"": 45408}, {""productVendor"": ""Welly Diecast Productions"", ""total_stock"": 45095}, {""productVendor"": ""Exoto Designs"", ""total_stock"": 44166}]"
Average buy price per product line,7,"productLine, average_buy_price","[{""productLine"": ""Classic Cars"", ""average_buy_price"": 64.45}, {""productLine"": ""Trucks and Buses"", ""average_buy_price"": 56.33}, {""productLine"": ""Motorcycles"", ""average_buy_price"": 50.69}, {""productLine"": ""Planes"", ""average_buy_price"": 49.63}, {""productLine"": ""Ships"", ""average_buy_price"": 47.01}]"
